vendor,model,temperature,reasoning_level,fleiss_kappa,accuracy,f1_macro,f1_rep1,f1_rep2,f1_rep3,f1_mean,f1_std,f1_min,f1_max,n_valid_rep1,n_valid_rep2,n_valid_rep3,pct_valid_rep1,pct_valid_rep2,pct_valid_rep3,pct_valid_mean,pct_valid_min,pct_valid_max,n_invalid,n_error,n_trials
openai,gpt-5.2-2025-12-11,0.0,none,0.9836215932914046,0.964,0.9631020515259352,0.9712260971078117,0.9631020515259352,0.9589490968801313,0.964425748504626,0.006244622800150761,0.9589490968801313,0.9712260971078117,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,0.5,none,0.9890900362938124,0.964,0.9631020515259352,0.9630049819957579,0.9631020515259352,0.9631020515259352,0.963069695015876,5.6043119377972424e-05,0.9630049819957579,0.9631020515259352,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,1.0,none,0.9945359570453369,0.968,0.9671592775041051,0.9630049819957579,0.9671592775041051,0.9671592775041051,0.965774512334656,0.002398483630037525,0.9630049819957579,0.9671592775041051,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,1.5,none,0.9890900362938124,0.964,0.9631020515259352,0.9630049819957579,0.9631020515259352,0.9631020515259352,0.963069695015876,5.6043119377972424e-05,0.9630049819957579,0.9631020515259352,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,2.0,none,0.9945359570453369,0.968,0.9671592775041051,0.9630049819957579,0.9671592775041051,0.9671592775041051,0.965774512334656,0.002398483630037525,0.9630049819957579,0.9671592775041051,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,,low,0.9836078711360109,0.96,0.9589490968801313,0.9630049819957579,0.9630049819957579,0.9631020515259352,0.9630373385058171,5.604311937797243e-05,0.9630049819957579,0.9631020515259352,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,,medium,0.9945494186046511,0.964,0.9631020515259352,0.9631020515259352,0.9631020515259352,0.9671592775041051,0.9644544601853252,0.0023424405106595527,0.9631020515259352,0.9671592775041051,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,,high,0.9945359570453371,0.968,0.9671592775041051,0.9712260971078117,0.9671592775041051,0.9671592775041051,0.968514884038674,0.0023479793929456435,0.9671592775041051,0.9712260971078117,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
openai,gpt-5.2-2025-12-11,,xhigh,0.9945494186046513,0.972,0.9713015956312829,0.9671592775041051,0.9713015956312829,0.9713015956312829,0.9699208229222237,0.0023915684857951707,0.9671592775041051,0.9713015956312829,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
gemini,gemini-3-flash-preview,0.0,MINIMAL,1.0,0.964,0.9631020515259352,0.9631020515259352,0.9631020515259352,0.9631020515259352,0.9631020515259352,0.0,0.9631020515259352,0.9631020515259352,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
gemini,gemini-3-flash-preview,0.0,LOW,1.0,0.956,0.9549025074205875,0.9549025074205875,0.9549025074205875,0.9549025074205875,0.9549025074205875,0.0,0.9549025074205875,0.9549025074205875,250,250,250,100.0,100.0,100.0,100.0,100.0,100.0,0,0,250
gemini,gemini-3-flash-preview,0.0,MEDIUM,1.0,0.9596774193548387,0.9587079587079587,0.9587079587079587,0.9587079587079587,0.9587079587079587,0.9587079587079587,0.0,0.9587079587079587,0.9587079587079587,248,248,248,99.2,99.2,99.2,99.2,99.2,99.2,2,0,250
gemini,gemini-3-flash-preview,0.0,HIGH,1.0,0.9637096774193549,0.9627894570128204,0.9627894570128204,0.9627894570128204,0.9627894570128204,0.9627894570128204,0.0,0.9627894570128204,0.9627894570128204,248,248,248,99.2,99.2,99.2,99.2,99.2,99.2,2,0,250
gemini,gemini-3-flash-preview,0.5,MINIMAL,0.9945706074404395,0.964,0.9631020515259352,0.9631020515259352,0.9629935432732797,0.9631020515259352,0.9630658821083834,6.264726887995739e-05,0.9629935432732797,0.9631020515259352,250,249,250,100.0,99.6,100.0,99.86666666666667,99.6,100.0,0,0,250
gemini,gemini-3-flash-preview,0.5,LOW,0.989157697673242,0.9598393574297188,0.9588293650793651,0.9549025074205875,0.9588293650793651,0.9588293650793651,0.9575204125264393,0.0022671723263646194,0.9549025074205875,0.9588293650793651,250,249,249,100.0,99.6,99.6,99.73333333333333,99.6,100.0,1,0,250
gemini,gemini-3-flash-preview,0.5,MEDIUM,0.9731411913851264,0.964,0.9631020515259352,0.9629935432732797,0.9667832167832168,0.9670634920634921,0.9656134173733295,0.002273201219264862,0.9629935432732797,0.9670634920634921,249,247,249,99.6,98.8,99.6,99.33333333333333,98.8,99.6,0,0,250
gemini,gemini-3-flash-preview,0.5,HIGH,0.9518692555065137,0.9678714859437751,0.9670634920634921,0.9667832167832168,0.9624713958810069,0.9631020515259352,0.9641188880633863,0.0023288231536776377,0.9624713958810069,0.9667832167832168,247,246,250,98.8,98.4,100.0,99.06666666666666,98.4,100.0,1,0,250
